Dataset_Type,File,GA_pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,GA_pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,GA_pop40_elite5_cx0p85_ox_mut0p75_mixed_tk3_initheuristic_ga_base_ox_mixed,GA_pop40_elite5_cx0p85_ox_mut0p75_mixed_tk3_initrandom_r_base_ox_mixed,GA_pop40_elite5_cx0p85_ox_mut0p9_mixed_tk3_initheuristic_ga_high_mutation_0p9,GA_pop40_elite5_cx0p85_ox_mut0p9_mixed_tk3_initrandom_r_high_mutation_0p9,GA_pop40_elite5_cx0p85_pmx_mut0p75_mixed_tk3_initheuristic_ga_pmx_mixed,GA_pop40_elite5_cx0p85_pmx_mut0p75_mixed_tk3_initrandom_r_pmx_mixed,Greedy
Poisson,Poisson_150_225_60,"{'Objective': 2214, 'Success_Rate': 0.984, 'Time': 360.0243070659999, 'Status': 'VALID'}","{'Objective': 2214, 'Success_Rate': 0.984, 'Time': 360.0188779559994, 'Status': 'VALID'}","{'Objective': 2216, 'Success_Rate': 0.9848888888888888, 'Time': 360.01753763000124, 'Status': 'VALID'}","{'Objective': 2214, 'Success_Rate': 0.984, 'Time': 360.04725894699914, 'Status': 'VALID'}","{'Objective': 2214, 'Success_Rate': 0.984, 'Time': 360.03806207900016, 'Status': 'VALID'}","{'Objective': 2214, 'Success_Rate': 0.984, 'Time': 360.0337134250003, 'Status': 'VALID'}","{'Objective': 2213, 'Success_Rate': 0.9835555555555556, 'Time': 360.0308813149986, 'Status': 'VALID'}","{'Objective': 2213, 'Success_Rate': 0.9835555555555556, 'Time': 360.02884141600043, 'Status': 'VALID'}",
Poisson,Poisson_200_300_80,"{'Objective': 2956, 'Success_Rate': 0.9853333333333332, 'Time': 360.06543855400014, 'Status': 'VALID'}","{'Objective': 2951, 'Success_Rate': 0.9836666666666668, 'Time': 360.0917460520013, 'Status': 'VALID'}","{'Objective': 2957, 'Success_Rate': 0.9856666666666668, 'Time': 360.069167611, 'Status': 'VALID'}","{'Objective': 2948, 'Success_Rate': 0.9826666666666668, 'Time': 360.0199523830015, 'Status': 'VALID'}","{'Objective': 2961, 'Success_Rate': 0.987, 'Time': 360.07722628900046, 'Status': 'VALID'}","{'Objective': 2947, 'Success_Rate': 0.9823333333333332, 'Time': 360.0689931849993, 'Status': 'VALID'}","{'Objective': 2958, 'Success_Rate': 0.986, 'Time': 360.08765928200046, 'Status': 'VALID'}","{'Objective': 2954, 'Success_Rate': 0.9846666666666668, 'Time': 360.04162468899995, 'Status': 'VALID'}",
Poisson,Poisson_20_30_10,"{'Objective': 146, 'Success_Rate': 0.73, 'Time': 20.003141998999126, 'Status': 'VALID'}","{'Objective': 146, 'Success_Rate': 0.73, 'Time': 20.003545315999872, 'Status': 'VALID'}","{'Objective': 144, 'Success_Rate': 0.72, 'Time': 20.00469941099982, 'Status': 'VALID'}","{'Objective': 145, 'Success_Rate': 0.725, 'Time': 20.00362007500007, 'Status': 'VALID'}","{'Objective': 145, 'Success_Rate': 0.725, 'Time': 19.99081555700104, 'Status': 'VALID'}","{'Objective': 144, 'Success_Rate': 0.72, 'Time': 20.00228659099957, 'Status': 'VALID'}","{'Objective': 145, 'Success_Rate': 0.725, 'Time': 19.95131942199987, 'Status': 'VALID'}","{'Objective': 147, 'Success_Rate': 0.735, 'Time': 19.97313936000137, 'Status': 'VALID'}",
Poisson,Poisson_300_450_120,"{'Objective': 4467, 'Success_Rate': 0.9926666666666668, 'Time': 360.0919768189997, 'Status': 'VALID'}","{'Objective': 4470, 'Success_Rate': 0.9933333333333332, 'Time': 360.0382266329998, 'Status': 'VALID'}","{'Objective': 4471, 'Success_Rate': 0.9935555555555556, 'Time': 360.052741083, 'Status': 'VALID'}","{'Objective': 4471, 'Success_Rate': 0.9935555555555556, 'Time': 360.1744063140013, 'Status': 'VALID'}","{'Objective': 4476, 'Success_Rate': 0.9946666666666668, 'Time': 360.1180569220014, 'Status': 'VALID'}","{'Objective': 4467, 'Success_Rate': 0.9926666666666668, 'Time': 360.08098495299964, 'Status': 'VALID'}","{'Objective': 4473, 'Success_Rate': 0.994, 'Time': 360.1545008150006, 'Status': 'VALID'}","{'Objective': 4466, 'Success_Rate': 0.9924444444444444, 'Time': 360.1092593630001, 'Status': 'VALID'}",
Poisson,Poisson_500_750_200,"{'Objective': 7320, 'Success_Rate': 0.976, 'Time': 600.2592021109995, 'Status': 'VALID'}","{'Objective': 7323, 'Success_Rate': 0.9764, 'Time': 600.0796805059999, 'Status': 'VALID'}","{'Objective': 7319, 'Success_Rate': 0.9758666666666668, 'Time': 600.114558117999, 'Status': 'VALID'}","{'Objective': 7325, 'Success_Rate': 0.9766666666666668, 'Time': 600.0604840619999, 'Status': 'VALID'}","{'Objective': 7323, 'Success_Rate': 0.9764, 'Time': 600.3114098860005, 'Status': 'VALID'}","{'Objective': 7322, 'Success_Rate': 0.9762666666666666, 'Time': 600.091727215, 'Status': 'VALID'}","{'Objective': 7329, 'Success_Rate': 0.9772, 'Time': 600.41900747, 'Status': 'VALID'}","{'Objective': 7332, 'Success_Rate': 0.9776, 'Time': 600.1305608130006, 'Status': 'VALID'}",
Poisson,Poisson_50_75_20,"{'Objective': 620, 'Success_Rate': 0.8266666666666667, 'Time': 90.0080580549984, 'Status': 'VALID'}","{'Objective': 617, 'Success_Rate': 0.8226666666666667, 'Time': 90.01640099799988, 'Status': 'VALID'}","{'Objective': 620, 'Success_Rate': 0.8266666666666667, 'Time': 89.99161176400048, 'Status': 'VALID'}","{'Objective': 616, 'Success_Rate': 0.8213333333333334, 'Time': 90.00755013400158, 'Status': 'VALID'}","{'Objective': 620, 'Success_Rate': 0.8266666666666667, 'Time': 90.01024392499858, 'Status': 'VALID'}","{'Objective': 615, 'Success_Rate': 0.82, 'Time': 90.01071025499914, 'Status': 'VALID'}","{'Objective': 620, 'Success_Rate': 0.8266666666666667, 'Time': 90.0105011100004, 'Status': 'VALID'}","{'Objective': 617, 'Success_Rate': 0.8226666666666667, 'Time': 90.01463028800026, 'Status': 'VALID'}",
Poisson,Poisson_800_1200_320,"{'Objective': 11830, 'Success_Rate': 0.9858333333333332, 'Time': 900.6719612550005, 'Status': 'VALID'}","{'Objective': 11795, 'Success_Rate': 0.9829166666666668, 'Time': 900.8006912720012, 'Status': 'VALID'}","{'Objective': 11805, 'Success_Rate': 0.98375, 'Time': 900.7052639119993, 'Status': 'VALID'}","{'Objective': 11790, 'Success_Rate': 0.9825, 'Time': 900.8127450020002, 'Status': 'VALID'}","{'Objective': 11818, 'Success_Rate': 0.9848333333333332, 'Time': 900.393410992001, 'Status': 'VALID'}","{'Objective': 11795, 'Success_Rate': 0.9829166666666668, 'Time': 900.713306530999, 'Status': 'VALID'}","{'Objective': 11833, 'Success_Rate': 0.9860833333333332, 'Time': 900.5302679340002, 'Status': 'VALID'}","{'Objective': 11797, 'Success_Rate': 0.9830833333333332, 'Time': 900.6825737589988, 'Status': 'VALID'}",
Poisson,Poisson_80_120_32,"{'Objective': 1119, 'Success_Rate': 0.9325, 'Time': 180.015404269001, 'Status': 'VALID'}","{'Objective': 1120, 'Success_Rate': 0.9333333333333332, 'Time': 180.00984601299933, 'Status': 'VALID'}","{'Objective': 1121, 'Success_Rate': 0.9341666666666668, 'Time': 180.00756094499957, 'Status': 'VALID'}","{'Objective': 1119, 'Success_Rate': 0.9325, 'Time': 180.01053764000062, 'Status': 'VALID'}","{'Objective': 1122, 'Success_Rate': 0.935, 'Time': 180.0148178649997, 'Status': 'VALID'}","{'Objective': 1119, 'Success_Rate': 0.9325, 'Time': 180.02140046000022, 'Status': 'VALID'}","{'Objective': 1118, 'Success_Rate': 0.9316666666666666, 'Time': 180.02567570700012, 'Status': 'VALID'}","{'Objective': 1120, 'Success_Rate': 0.9333333333333332, 'Time': 180.0191361369998, 'Status': 'VALID'}",
Poisson_1000_1500_400,Poisson_1000_1500_400,,,,,,,,,"{'Objective': 14567, 'Success_Rate': '-', 'Time': '-', 'Status': 'Success'}"
Poisson_100_150_40,Poisson_100_150_40,,,,,,,,,"{'Objective': 1420, 'Success_Rate': '-', 'Time': '-', 'Status': 'Success'}"
Poisson_150_225_60,Poisson_150_225_60,,,,,,,,,"{'Objective': 2216, 'Success_Rate': '-', 'Time': '-', 'Status': 'Success'}"
Poisson_200_300_80,Poisson_200_300_80,,,,,,,,,"{'Objective': 2923, 'Success_Rate': '-', 'Time': '-', 'Status': 'Success'}"
Poisson_20_30_10,Poisson_20_30_10,,,,,,,,,"{'Objective': 140, 'Success_Rate': '-', 'Time': '-', 'Status': 'Success'}"
Poisson_300_450_120,Poisson_300_450_120,,,,,,,,,"{'Objective': 4456, 'Success_Rate': '-', 'Time': '-', 'Status': 'Success'}"
Poisson_500_750_200,Poisson_500_750_200,,,,,,,,,"{'Objective': 7313, 'Success_Rate': '-', 'Time': '-', 'Status': 'Success'}"
Poisson_50_75_20,Poisson_50_75_20,,,,,,,,,"{'Objective': 620, 'Success_Rate': '-', 'Time': '-', 'Status': 'Success'}"
Poisson_800_1200_320,Poisson_800_1200_320,,,,,,,,,"{'Objective': 11796, 'Success_Rate': '-', 'Time': '-', 'Status': 'Success'}"
Poisson_80_120_32,Poisson_80_120_32,,,,,,,,,"{'Objective': 1114, 'Success_Rate': '-', 'Time': '-', 'Status': 'Success'}"
Uniform,Uniform_1000_1500_400,"{'Objective': 14661, 'Success_Rate': 0.9774, 'Time': 900.7218777929992, 'Status': 'VALID'}","{'Objective': 14654, 'Success_Rate': 0.9769333333333332, 'Time': 901.0457673359996, 'Status': 'VALID'}","{'Objective': 14661, 'Success_Rate': 0.9774, 'Time': 902.8449906269998, 'Status': 'VALID'}","{'Objective': 14656, 'Success_Rate': 0.9770666666666666, 'Time': 901.544493854999, 'Status': 'VALID'}","{'Objective': 14661, 'Success_Rate': 0.9774, 'Time': 901.6885299070018, 'Status': 'VALID'}","{'Objective': 14643, 'Success_Rate': 0.9762, 'Time': 900.9879101719998, 'Status': 'VALID'}","{'Objective': 14661, 'Success_Rate': 0.9774, 'Time': 902.0843070849988, 'Status': 'VALID'}","{'Objective': 14644, 'Success_Rate': 0.9762666666666666, 'Time': 901.8554822500008, 'Status': 'VALID'}",
