Algorithm,Experiment,Dataset,File,Objective,Success_Rate,Greedy_Baseline,GA_Best,Difference_vs_Greedy,Avg_Time,Status,Population,Elite,Crossover_Rate,Mutation_Rate,Crossover_Type,Mutation_Type
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,Uniform,Uniform_50_75_20,649,0.8653333333333333,648,649,1,90.00960752600076,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,Uniform,Uniform_80_120_32,1126,0.9383333333333334,1126,1126,0,180.01235335199817,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,Uniform,Uniform_100_150_40,1386,0.924,1386,1386,0,180.0297311289978,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,Uniform,Uniform_150_225_60,2134,0.9484444444444444,2122,2134,12,360.0296256840011,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,Uniform,Uniform_200_300_80,2909,0.9696666666666668,2877,2909,32,360.12098443700233,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,Uniform,Uniform_300_450_120,4277,0.9506557012669482,4277,4277,0,360.2272863170001,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,Uniform,Uniform_500_750_200,7287,0.9716,7262,7287,25,600.4996022999985,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,Uniform,Uniform_800_1200_320,11747,0.9789166666666668,11684,11747,63,900.381983018,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,Uniform,Uniform_1000_1500_400,14661,0.9774,14661,14661,0,900.7218777929992,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,hustack,hustack01,169,0.9441340782122905,169,169,0,19.979163705000246,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,hustack,hustack02,167,0.8186274509803921,167,167,0,44.9519434190006,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,hustack,hustack03,37,0.9487179487179488,37,37,0,19.96852379099801,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,hustack,hustack04,227,0.7643097643097643,227,227,0,45.002490701997885,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,hustack,hustack05,318,0.8907563025210085,318,318,0,45.00528190399928,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,hustack,hustack06,69,0.8846153846153846,69,69,0,19.960819658001128,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,hustack,hustack07,200,0.8264462809917356,200,200,0,45.004882446999545,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,hustack,hustack08,148,0.8809523809523809,146,148,2,20.0027623820024,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,hustack,hustack09,284,0.8685015290519877,283,284,1,45.00608030100193,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initheuristic_ga_low_mutation_0p4,hustack,hustack10,12,1.0,12,12,0,0.0001408620009897,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Adversarial,Adversarial_20_30_10,156,0.78,157,156,-1,20.00310439699996,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Adversarial,Adversarial_50_75_20,490,0.6533333333333333,493,490,-3,90.02229558899995,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Adversarial,Adversarial_80_120_32,1066,0.8883333333333333,1064,1066,2,180.02010040599993,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Adversarial,Adversarial_100_150_40,1386,0.924,1390,1386,-4,180.03716994,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Adversarial,Adversarial_150_225_60,2005,0.8911111111111111,2022,2005,-17,360.053220461,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Adversarial,Adversarial_200_300_80,2664,0.888,2681,2664,-17,360.05391709700007,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Adversarial,Adversarial_300_450_120,3907,0.8682222222222222,3924,3907,-17,360.077435752,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Adversarial,Adversarial_500_750_200,6570,0.8761168155754101,6630,6570,-60,600.0769934930001,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Adversarial,Adversarial_800_1200_320,10522,0.8768333333333334,10608,10522,-86,900.1439705809998,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Adversarial,Adversarial_1000_1500_400,13126,0.8750666666666667,13211,13126,-85,900.8607188339996,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Exponential,Exponential_20_30_10,187,0.935,188,187,-1,20.00418085900037,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Exponential,Exponential_50_75_20,368,0.4906666666666666,376,368,-8,90.01260976699996,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Exponential,Exponential_80_120_32,745,0.6208333333333333,760,745,-15,180.01544117699996,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Exponential,Exponential_100_150_40,1120,0.7466666666666667,1112,1120,8,180.01643689499997,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Exponential,Exponential_150_225_60,1931,0.8582222222222222,1936,1931,-5,360.056153816,VALID,40,5,0.85,0.4,ox,mixed
