Kich_Thuoc_N,Ten_Bai_Toan,Greedy_Diem,Greedy_Time(s),Gurobi_Diem,Gurobi_Time(s),CP_SAT_Diem,CP_SAT_Time(s),pywraplp_Diem,pywraplp_Time(s)
500,Heuristic_Exponential_500_750_200,5870,0.448,N/A,N/A,N/A,N/A,N/A,N/A
500,Heuristic_Gaussian_500_750_200,5983,1.5571,N/A,N/A,N/A,N/A,N/A,N/A
500,Heuristic_Poisson_500_750_200,6000,1.516,N/A,N/A,N/A,N/A,N/A,N/A
500,Heuristic_Uniform_500_750_200,5995,2.1419,N/A,N/A,N/A,N/A,N/A,N/A
500,Poisson_500_750_200,N/A,N/A,6000,230.0718,3459,1002.8957,N/A,N/A
500,Uniform_500_750_200,N/A,N/A,6000,321.5667,2540,1005.3513,N/A,N/A
800,Adversarial_800_1200_320,N/A,N/A,N/A,N/A,N/A,807.8867,N/A,N/A
800,Exponential_800_1200_320,N/A,N/A,N/A,N/A,3319,1004.8017,N/A,N/A
800,Gaussian_800_1200_320,N/A,N/A,N/A,N/A,25,1001.8101,N/A,N/A
800,Heuristic_Adversarial_800_1200_320,9397,1.6008,N/A,N/A,N/A,N/A,N/A,N/A
800,Heuristic_Exponential_800_1200_320,9457,1.3133,N/A,N/A,N/A,N/A,N/A,N/A
800,Heuristic_Gaussian_800_1200_320,9581,4.1678,N/A,N/A,N/A,N/A,N/A,N/A
800,Heuristic_Poisson_800_1200_320,9589,4.1752,N/A,N/A,N/A,N/A,N/A,N/A
800,Heuristic_Uniform_800_1200_320,9588,7.7065,N/A,N/A,N/A,N/A,N/A,N/A
1000,Adversarial_1000_1500_400,N/A,N/A,N/A,N/A,N/A,1006.6156,N/A,N/A
1000,Exponential_1000_1500_400,N/A,N/A,N/A,N/A,2022,1001.8922,N/A,N/A
1000,Gaussian_1000_1500_400,N/A,N/A,N/A,N/A,N/A,915.8666,N/A,N/A
1000,Heuristic_Adversarial_1000_1500_400,11681,2.2923,N/A,N/A,N/A,N/A,N/A,N/A
1000,Heuristic_Exponential_1000_1500_400,11921,2.4461,N/A,N/A,N/A,N/A,N/A,N/A
1000,Heuristic_Gaussian_1000_1500_400,11989,7.0669,N/A,N/A,N/A,N/A,N/A,N/A
1000,Heuristic_Poisson_1000_1500_400,11979,6.1104,N/A,N/A,N/A,N/A,N/A,N/A
1000,Heuristic_Uniform_1000_1500_400,11961,12.5118,N/A,N/A,N/A,N/A,N/A,N/A
1000,Poisson_1000_1500_400,N/A,N/A,N/A,N/A,56,1005.2245,N/A,N/A
1000,Uniform_1000_1500_400,N/A,N/A,N/A,N/A,N/A,881.3091,N/A,N/A
